Time,/fdm/jsbsim/attitude/phi-rad,/fdm/jsbsim/fcs/right-aileron-pos-rad
0,0,0
0.09999996,0.000229038809076597696,-0.00334025501115611453
0.19999992,0.000229040679838112118,-0.00334025501115611453
0.29999988,0.000229044102122700376,-0.00334025501115611453
0.39999984,0.000229046415175275346,-0.00334025501115611453
0.4999998,0.000229044663434586156,-0.00334025501115611453
0.59999976,0.000229036619707169485,-0.00334025501115611453
0.69999972,0.000229021010285795451,-0.00334025501115611453
0.79999968,0.000228997407586162049,-0.00334025501115611453
0.89999964,0.000228966054226475838,-0.00334025501115611453
0.9999996,0.000228927709492086689,-0.00334025501115611453
1.09999956,0.00218246066530125354,-0.0668945161707288904
1.19999952,0.0165392025588848267,-0.136226437435717385
1.29999948,0.0489684911080691607,-0.205558358700705851
1.39999944,0.100834262118247281,-0.274890279965694317
1.4999994,0.172230899320535064,-0.344222201230682812
1.59999936,0.260906663090066493,-0.349999999999999978
1.69999932,0.356003249205946393,-0.349999999999999978
1.79999928,0.45143916816736368,-0.349999999999999978
1.89999924,0.54549115372464585,-0.349999999999999978
1.9999992,0.637790531426714602,-0.349999999999999978
2.09999916,0.728456347050386088,-0.349999999999999978
2.19999912,0.817812118863097237,-0.349999999999999978
2.29999908,0.906259069141071238,-0.349999999999999978
2.39999904,0.994199704484278413,-0.349999999999999978
2.499999,1.08199192234754937,-0.349999999999999978
2.59999896,1.16992866230607961,-0.349999999999999978
2.69999892,1.25824421005319209,-0.349999999999999978
2.79999888,1.34714148501387387,-0.349999999999999978
2.89999884,1.43681268616832569,-0.349999999999999978
2.9999988,1.52745123348554523,-0.349999999999999978
3.09999876,1.61924825524584914,-0.349999999999999978
3.19999872,1.71237355701584049,-0.349999999999999978
3.29999868,1.80694729889806371,-0.349999999999999978
3.39999864,1.90301177269255284,-0.349999999999999978
3.4999986,2.0005126193319982,-0.349999999999999978
3.59999856,2.09929611926239756,-0.349999999999999978
3.69999852,2.19912477707944332,-0.349999999999999978
3.79999848,2.29970860509304664,-0.349999999999999978
3.89999844,2.40074575868675666,-0.349999999999999978
3.9999984,2.50196463702713778,-0.349999999999999978
4.09999836,2.60316040133061177,-0.349999999999999978
4.19999832,2.70421970524429556,-0.349999999999999978
4.29999828,2.80513496018517783,-0.349999999999999978
4.39999824,2.90600718122138435,-0.349999999999999978
4.4999982,3.0070404931811856,-0.349999999999999978
4.59999816,3.10853087035112319,-0.349999999999999978
4.69999812,-3.07234074147765002,-0.349999999999999978
4.79999808,-2.96879603727080577,-0.349999999999999978
4.89999804,-2.8636037340343683,-0.349999999999999978
4.999998,-2.75637229739378853,-0.349999999999999978
