Time,/fdm/jsbsim/attitude/phi-rad,/fdm/jsbsim/attitude/psi-rad,/fdm/jsbsim/fcs/rudder-pos-rad,/fdm/jsbsim/accelerations/Nz
0,2.59222623785472228e-32,3.14159265358979312,0,1.0263544745321187
0.04999998,-1.81465934472623332e-07,3.14158833781620128,0,1.00623207278710347
0.09999996,0.000678294690104510613,3.14159265358145001,-0.00149432011523228264,0.996997498544117566
0.14999994,0.000678293377304952099,3.14159265343752692,-0.00149432011523228264,0.997000343244165421
0.19999992,0.000678291939760633381,3.14159265287590372,-0.00149432011523228264,0.997002457279213883
0.2499999,0.000678290597660987336,3.14159265158693346,-0.00149432011523228264,0.997003954560202299
0.29999988,0.000678289357062939325,3.14159264931751592,-0.00149432011523228264,0.997004972884488083
0.34999986,0.000678288119312585075,3.14159264590984355,-0.00149432011523228264,0.9970056439169801
0.39999984,0.000678286745994704761,3.14159264131096849,-0.00149432011523228264,0.997006078915289695
0.44999982,0.000678285096119667281,3.1415926355651087,-0.00149432011523228264,0.99700636424076361
0.4999998,0.000678283046076638501,3.14159262879699375,-0.00149432011523228264,0.997006562379625039
0.54999978,0.000678280499054158856,3.14159262119169425,-0.00149432011523228264,0.99700671559616183
0.59999976,0.000678277388186884788,3.14159261297424841,-0.00149432011523228264,0.997006850429322355
0.64999974,0.000678273676104046192,3.14159260439092369,-0.00149432011523228264,0.997006982021444776
0.69999972,0.000678269352525641064,3.14159259569299909,-0.00149432011523228264,0.997007117794331599
0.7499997,0.000678264430887274574,3.14159258712335143,-0.00149432011523228264,0.997007260313060306
0.79999968,0.000678258944558032969,3.14159257890581944,-0.00149432011523228264,0.997007409365461617
0.84999966,0.000678252942961413878,3.14159257123714619,-0.00149432011523228264,0.997007563375611916
0.89999964,0.00067824648776520168,3.141592564281249,-0.00149432011523228264,0.997007720291393951
0.94999962,0.000678239649226655152,3.14159255816555261,-0.00149432011523228264,0.997007878098402633
0.9999996,0.000678232502745099858,3.14159255297913687,-0.00149432011523228264,0.99700803507254554
1.04999958,0.000667346501397439386,3.14161989907716599,-0.0305364484887733038,0.997006843117189234
1.09999956,0.000534677102742363666,3.14203499179363543,-0.0653870025370225372,0.996947250952086916
1.14999954,0.000209602912117231574,3.14337510409849274,-0.100237556585271739,0.996677035194532657
1.19999952,-0.000272565235162545094,3.14611772161203174,-0.135088110633520969,0.996032226893538875
1.2499995,-0.000809675973626795657,3.15066678249429044,-0.169938664681770185,0.994893353710377792
1.29999948,-0.00125799572278514362,3.15734481402753975,-0.204789218730019429,0.993225607675587985
1.34999946,-0.001449168100878183,3.16638819252017623,-0.239639772778268673,0.99110654324505687
1.39999944,-0.00120243499322354578,3.17794545216031299,-0.274490326826517916,0.988740135917817065
1.44999942,-0.000333937123511654976,3.19207848779119052,-0.309340880874767077,0.986455999326883104
1.4999994,0.00133596975272878057,3.2087664134206717,-0.344191434923016348,0.98469382895997748
1.54999938,0.00398775562975943205,3.22788447380356125,-0.349999999999999978,0.98397934946190313
1.59999936,0.0078875151667180312,3.24890741170713371,-0.349999999999999978,0.985041533862922258
1.64999934,0.0132437470880645211,3.27107571122017315,-0.349999999999999978,0.98862451736075363
1.69999932,0.0201388096237850554,3.29364304560377708,-0.349999999999999978,0.995154754219332971
1.7499993,0.0285650374988256212,3.3159018816764898,-0.349999999999999978,1.00464947458301102
1.79999928,0.0384472054444431263,3.33720357170400828,-0.349999999999999978,1.01671367887485453
